서비스	에스더팩은 어떤 서비스인가요?	에스더팩은 개인 맞춤형 영양제를 한 팩씩 소분하여 정기적으로 배송드리는 정기구독 서비스입니다. 건강기능 식품을 하루 분량으로 포장해 드리며, 하루에 한 팩씩 간편하게 섭취하실 수 있어요. 에스더팩은 30일 분량으로 구성되어 정기 배송됩니다. <br><br><br><이런 분들에게 도움이 될 수 있어요><br>- 영양제 섭취가 복잡하고 번거롭게 느껴지는 분<br>- 매일 꾸준히 챙겨먹는 습관이 어려운 분<br>- 여행이나 출장 등 이동이 잦아 매번 영양제를 챙기기가 번거롭게 느껴지는 분<br>- 여러 종류의 영양제를 빠짐없이 챙겨 먹고 싶은 분<br><br><br><에스더팩 정기구독 혜택><br>- 영양제가 남았다면? 배송일을 언제든지 미룰 수 있어요.<br>- 구독이 부담된다면? 언제든지 간편하게 바로 해지할 수 있어요.<br>- 신선하게 만든 한 팩 맞춤 영양제, 매달 집 앞으로 배송돼요.<br>- 전문 영양 상담사와 1:1 상담, 언제든 부담없이 받아보세요.
서비스	에스더팩 서비스 이용 방법에 대해 알려주세요.	에스더팩은 꼭 필요한 건강기능식품만 모아 나만의 맞춤팩을 만들 수 있는 개인 맞춤형 소분 서비스입니다.<br>에스더팩을 만드는 3가지 방법을 소개할게요!<br><br>첫 번째, 에스더 추천 조합으로 간편하게 구성하기<br>두 번째, 먹고 있던 제품들 또는 원하는 제품들을 하나씩 직접 골라 담기<br>세 번째, 건강 문진으로 내 몸에 맞춘 맞춤팩 추천받기<br><br><br>에스더팩 서비스 이용이 어려우신가요?<br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 도와드릴게요!
서비스	에스더팩은 누구나 이용할 수 있나요?	에스더팩은 건강한 삶을 목표로 하는 누구나 이용할 수 있는 서비스입니다. 회원가입/로그인 후 에스더팩을 구매하실 수 있어요.<br><br>혹시, 질환으로 인해 의약품을 복용 중이시거나 섭취 제품에 대해 고민이 있는 경우,<br>또는 서비스 이용이 어려우시다면?<br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 도와드릴게요!
서비스	에스더팩을 선물할 수 있나요?	에스더팩을 선물하고 싶으신가요?<br><br>하나의 ID로 가족, 친구, 지인 등 여러 명의 에스더팩을 함께 구독하실 수 있어요.<br>소중한 분을 위한 특별한 맞춤팩을 직접 만들어보세요.<br><br>어떤 제품을 고를지 고민되시나요?<br>연령과 성별, 건강 고민에 따라 추천된 조합을 참고해보세요.
서비스	서비스 및 제품 관련 상담은 어디서 하나요?	전문 영양 상담사의 상담이 필요하신가요?<br><br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 상담해드릴게요!
서비스	건강 문진은 꼭 해야 하나요?	에스더팩 1:1 건강문진은 건강을 제일 잘 아는 에스더 영양연구소의 연구진들과 함께 설계했어요. 1:1 건강 문진을 통해 고객님의 섭취 주의 식품, 평소 갖고 있는 건강고민 등을 고려하여 고객님만을 위한 에스더팩을 추천드려요.<br><br>나에게 꼭 맞는 영양조합을 찾고 계신다면, 1:1 건강문진을 이용해보세요.
서비스	구독 중에도 건강문진을 다시 할 수 있나요?	건강 문진 서비스는 에스더팩 고객이라면 언제든지 다시 하실 수 있어요.<br><br>이전에 진행한 문진 결과를 확인하고 싶으시다면, [마이페이지 > 문진 관리]에서 확인하실 수 있습니다.<br>문진 결과는 7일 동안 보관된 후 자동으로 삭제됩니다.
서비스	건강문진 결과를 다시 확인하고 싶어요.	이전에 진행한 문진 결과를 확인하고 싶으시다면, [마이페이지 > 문진 관리]에서 확인하실 수 있습니다.<br>문진 결과는 7일 동안 보관된 후 자동으로 삭제됩니다.
서비스	이미 구독중인 에스더팩이 있으면 제품을 추가로 구매할 수 없나요?	구독 중인 에스더팩이 있어도 여러 개의 에스더팩을 추가로 구매하실 수 있어요.<br><br>만약 여러 개의 에스더팩을 구매하시는 경우, 보다 편리한 구분을 위해 팩이름을 서로 다르게 입력하시는 것을 추천드려요.<br><br>부모님, 친구 등 소중한 사람들을 위해 에스더팩을 만들어 선물하실 수도 있어요. 전하고 싶은 메시지를 팩 네임에 담으셔도 좋아요. 선물 받으실 분을 위해 어떤 제품을 담아야 할지 고민이 되신다면, 연령 및 성별 건강 고민에 따라 문진 결과를 참고해보시는 것을 추천드려요.
정기구독	구독하고 있는 제품 구성을 변경할 수 있나요?	구독 중인 에스더팩의 구성을 변경하고 싶으신가요?<br>다음 회차부터 새로운 구성으로 받고 싶으시다면 아래 경로를 통해 신청해주세요.<br><br>▶︎ [주문/구독 > 구독 상세 > 구성변경]<br>▶︎ [주문/구독 > 구독 상세> 1:1문의]<br><br>구성 변경을 신청하시면, 구독 상태는 '일시정지'로 전환되며,<br>변경 완료 후 구성 및 구독 상태가 자동으로 업데이트 됩니다.<br><br>구성이 어려우시거나 도움이 필요하시다면?<br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 안내해드릴게요.
정기구독	정기결제는 언제 되나요?	에스더팩 정기결제는 이전 회차 배송일을 기준으로 27일 뒤, 자동으로 진행됩니다. 결제가 완료되면 카카오톡 알림톡 및 앱 푸시를 통해 결제 내역을 안내드립니다.<br><br>섭취 속도에 따라 에스더팩이 빨리 소진되거나 남아 있다면?<br>[주문/구독 > 상세 > 다음 결제일 변경]를 통해 다음 회차의 결제 및 배송일을 직접 변경할 수 있어요.
정기구독	정기결제 내역을 확인하고 싶어요.	[주문/구독 > 상세 > 지난회차 주문이 궁금하다면? 화면에서 확인할 수 있어요.<br><br>결제 내역 확인이 어려우시거나 도움이 필요하시다면?<br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 안내해드릴게요.
정기구독	정기결제일을 변경하고 싶어요.	에스더팩 정기결제는 이전 회차 배송일을 기준으로 27일 뒤, 자동으로 진행됩니다. 섭취 속도에 따라 에스더팩이 빨리 소진되거나 아직 남아있다면, [주문/구독 > 상세] 화면의 '다음 결제일 변경' 버튼을 통해 직접 변경가능해요.<br><br>※ 다음 정기결제일은 '이전 배송일 기준' 최대 90일 뒤까지 변경 가능합니다.<br>※ 90일 이후 날짜로 변경이 필요한 경우, [마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 도와드릴게요.
정기구독	결제 수단은 어떤 것들이 있나요?	에스더팩은 두 가지 결제수단이 존재해요.<br><br><한 번만 구매할 경우><br>- 카드 결제 또는 간편 결제(카카오페이, 네이버페이, 토스페이) 중 선택하실 수 있어요.<br>- 결제 시마다 직접 결제수단을 선택해 결제하시면 됩니다.<br><br><정기구독의 경우><br>- 1회차 구매 시 등록된 결제수단을 통해 회차별 자동 결제가 진행돼요.<br>- 정기결제를 위해서는 반드시 카드 등록 또는 간편결제 수단(카카오페이, 네이버페이, 토스페이) 등록이 필요합니다.<br>
정기구독	결제에 실패했어요. 어떻게 하면 되나요?	구독 중 정기결제에 실패한 경우, 매일 오전 9시에 카카오톡 알림톡으로 안내드려요.<br>결제가 가능한 결제수단으로 변경해주셔야 정기결제가 정상적으로 이루어집니다.<br>정기 결제를 위한 결제수단은 [주문/구독 > 상세] 화면의 '결제 수단 변경' 버튼을 통해 직접 변경가능해요.<br><br>결제 수단 변경이 어렵다면?<br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 안내해드릴게요.
정기구독	구독 해지 시 자동으로 결제가 취소되나요?	구독 해지를 신청하면, 다음 회차부터 결제가 진행되지 않아요.<br>정기구독은 회차별 자동 결제가 이루어지기 때문에, 다음 결제일 이전에 해지 신청을 완료하셔야 정상적으로 구독이 종료됩니다.<br><br>해지 신청은 [주문/구독 > 상세] 화면 하단의 '해지하기' 버튼을 통해 진행하실 수 있어요.<br><br>1회차(첫 주문)의 경우, 결제가 완료된 후 안심챗/콜 상담 진행 전까지만 주문 취소 및 구독 해지가 가능합니다. 상담이 완료되면, 고객님만을 위한 에스더팩 제작이 시작되어 주문 취소가 불가능하니, 취소를 원하시는 경우 전담 영양 상담사에게 상담 진행 중 반드시 의사를 전달해 주세요. 1회차 주문이 취소되면 정기구독도 자동 해지됩니다.<br><br>구독해지가 어렵다면?<br>[마이페이지 > 고객센터 > 1:1문의] 또는 고객센터(☎ 1555-5115, 평일 오전 9시~오후 6시) / 에스더팩 카카오톡 채널로 문의해 주세요.<br>친절하게 안내해드릴게요.
